,Star Name,Distance,Mass,Radius,Gravity
0,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
1,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
2,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
3,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
4,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
5,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
6,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
7,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
8,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
9,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
10,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
11,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
12,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
13,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
14,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
15,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
16,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
17,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
18,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
19,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
20,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
21,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
22,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
23,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
24,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
25,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
26,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
27,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
28,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
29,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
30,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
31,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
32,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
33,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
34,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
35,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
36,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
37,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
38,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
39,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
40,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
41,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
42,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
43,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
44,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
45,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
46,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
47,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
48,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
49,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
50,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
51,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
52,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
53,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
54,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
55,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
56,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
57,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
58,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
59,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
60,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
61,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
62,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
63,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
64,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
65,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
66,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
67,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
68,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
69,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
70,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
71,WISE 1405+5534,25.3,5.967e+31,598302000.0,11125.033590842642
